feature,importance
communityName_now_build_interval_mean,12
buildYear_卫面积_sum,12
buildYear_now_trade_interval_min,10
buildYear_uv_pv_ratio_sum,9
houseToward_西北,8
plate_卫数量_min,6
plate_室数量_median,5
plate_卫数量_sum,5
rentType_合租,4
buildYear_now_build_interval_max,3
buildYear_now_build_interval_min,3
buildYear_卫数量_sum,3
buildYear_厅数量_sum,3
communityName_now_build_interval_median,2
buildYear_厅数量_median,2
plate_厅面积_min,2
plate_厅数量_min,1
buildYear_now_build_interval_mean,1
plate_厅数量_median,0
plate_室数量_min,0
buildYear_now_build_interval_median,0
buildYear_now_build_interval_skew,0
buildYear_tradeNewMeanPrice_min,0
communityName_now_build_interval_skew,0
buildYear_厅面积_min,0
buildYear_室数量_median,0
plate_卫数量_median,0
houseToward_东西,0
buildYear_厅数量_min,0
buildYear_卫数量_min,0
buildYear_卫数量_median,0
buildYear_室数量_min,0
